,year,COUNTRY,mount_kba_area,kba,cum_overlap,cum_percPA
29722,1951,NER,78359754158,78359754158,0,0
29723,1951,NGA,14556010427,14556010427,0,0
29724,1951,NIC,21025366012,21025366012,0,0
29725,1951,NOR,14853619458,14853619458,0,0
29726,1951,NPL,32538373082,32538373082,0,0
29727,1951,NZL,1.91888E+11,1.91888E+11,590238486.4,0.307595312
29728,1951,OMN,9355409468,9355409468,0,0
29729,1951,PAK,20064115978,20064115978,0,0
29730,1951,PAN,23004130803,23004130803,0,0
29731,1951,PER,1.74113E+11,1.74113E+11,0,0
29732,1951,PHL,74197946484,74197946484,364894696.7,0.491785439
29733,1951,PNG,39134788419,39134788419,0,0
29734,1951,POL,5961386005,5961386005,22397798.68,0.375714618
29735,1951,PRI,1885563155,1885563155,203653558.1,10.80067552
29736,1951,PRK,1127710544,1127710544,0,0
29737,1951,PRT,13507032417,13507032417,0,0
29738,1951,PRY,4814143497,4814143497,0,0
29739,1951,PSE,1899381100,1899381100,0,0
29740,1951,PYF,126371282.6,126371282.6,0,0
29741,1951,REU,1375671690,1375671690,0,0
29742,1951,ROU,29660168249,29660168249,56012804.81,0.188848574
29743,1951,RUS,4.51294E+11,4.51294E+11,22912629115,5.077091308
29744,1951,RWA,5809084522,5809084522,2209364114,38.0329139
29745,1951,SAU,25307037331,25307037331,0,0
29746,1951,SDN,9534571050,9534571050,8399680300,88.09709694
29747,1951,SEN,8543309588,8543309588,0,0
29748,1951,SGS,3496304723,3496304723,0,0
29749,1951,SHN,188119019.5,188119019.5,0,0
29750,1951,SJM,59328163374,59328163374,0,0
29751,1951,SLB,6998809470,6998809470,0,0
29752,1951,SLE,4209833796,4209833796,272264672.8,6.467349686
29753,1951,SLV,3202520351,3202520351,0,0
29754,1951,SOM,9617525883,9617525883,0,0
29755,1951,SRB,9924814813,9924814813,1047553.324,0.01055489
29756,1951,SSD,51819760793,51819760793,19630331.14,0.037881941
29757,1951,STP,777443271.1,777443271.1,0,0
29758,1951,SUR,39376384561,39376384561,0,0
29759,1951,SVK,12886764181,12886764181,595300.4942,0.004619472
29760,1951,SVN,5008062138,5008062138,825156840.5,16.47656953
29761,1951,SWE,14249867777,14249867777,0,0
29762,1951,SWZ,1904360504,1904360504,0,0
29763,1951,SYC,141803298.1,141803298.1,0,0
29764,1951,SYR,5254678484,5254678484,0,0
29765,1951,TCD,1739715614,1739715614,0,0
29766,1951,TGO,2165621490,2165621490,2066959235,95.44415976
29767,1951,THA,81468891068,81468891068,0,0
29768,1951,TJK,8531617644,8531617644,353144313,4.139242143
29769,1951,TKM,15616698481,15616698481,2700612770,17.29310951
29770,1951,TLS,5335904599,5335904599,0,0
29771,1951,TON,70322026.57,70322026.57,0,0
29772,1951,TTO,537181760.9,537181760.9,20491240.49,3.814582323
29773,1951,TUN,9491864350,9491864350,4627607128,48.75340563
29774,1951,TUR,39446693366,39446693366,0,0
29775,1951,TWN,6513135462,6513135462,0,0
29776,1951,TZA,1.79575E+11,1.79575E+11,91907647822,51.18050753
29777,1951,UGA,21904875127,21904875127,8769136949,40.03280958
29778,1951,UKR,3832586985,3832586985,0,0
29779,1951,USA,4.36424E+11,4.36424E+11,15371068199,3.52205157
29780,1951,UZB,15860987882,15860987882,274504624.1,1.730690586
29781,1951,VCT,214303794,214303794,32059809.28,14.95998213
29782,1951,VEN,1.81588E+11,1.81588E+11,812458301.4,0.44741904
29783,1951,VGB,9338983.318,9338983.318,0,0
29784,1951,VIR,29303051.36,29303051.36,0,0
29785,1951,VNM,33351781153,33351781153,0,0
29786,1951,VUT,3832428910,3832428910,0,0
29787,1951,WSM,1102962723,1102962723,0,0
29788,1951,YEM,1930342980,1930342980,0,0
29789,1951,ZAF,1.80058E+11,1.80058E+11,31479741908,17.4831481
29790,1951,ZMB,38977467606,38977467606,0,0
29791,1951,ZWE,14490246292,14490246292,1146446557,7.911850041
29792,1951,NA,8071363525,8071363525,0,0
29793,1952,AFG,16331460902,16331460902,6768763.416,0.04144616
29794,1952,AGO,18350580764,18350580764,0,0
29795,1952,ALB,6981720191,6981720191,3008514.345,0.043091305
29796,1952,AND,474631265.5,474631265.5,0,0
29797,1952,ARE,122931159.8,122931159.8,0,0
29798,1952,ARG,1.41206E+11,1.41206E+11,23508294047,16.64818779
29799,1952,ARM,11021516898,11021516898,0,0
29800,1952,ASM,2522538123,2522538123,0,0
29801,1952,ATA,31399811.85,31399811.85,0,0
29802,1952,ATF,2627109984,2627109984,0,0
29803,1952,AUS,1.12166E+11,1.12166E+11,4630832.109,0.00412856
29804,1952,AUT,12632799987,12632799987,10998914.83,0.087066326
29805,1952,AZE,11698672988,11698672988,178232987.7,1.523531668
29806,1952,BDI,1140478579,1140478579,362733881.6,31.80540944
29807,1952,BEL,3229304257,3229304257,30191876.2,0.934934394
29808,1952,BES,40883902.37,40883902.37,0,0
29809,1952,BFA,79401708.17,79401708.17,0,0
29810,1952,BGD,1333561822,1333561822,0,0
29811,1952,BGR,23713397484,23713397484,450772794,1.900920331
29812,1952,BIH,982214131.5,982214131.5,0,0
29813,1952,BLZ,24137903141,24137903141,303546625.4,1.257551758
29814,1952,BOL,1.38246E+11,1.38246E+11,846571474.7,0.612367049
29815,1952,BRA,4.20208E+11,4.20208E+11,3265175372,0.777037017
29816,1952,BRN,1736355118,1736355118,218847029.9,12.60381748
29817,1952,BTN,13806202681,13806202681,0,0
29818,1952,BWA,8916372422,8916372422,0,0
29819,1952,CAF,36174744975,36174744975,34647507438,95.7781664
29820,1952,CAN,62756754478,62756754478,997974793.4,1.590226903
29821,1952,CHE,5464191470,5464191470,170311948.8,3.116873735
29822,1952,CHL,52892758432,52892758432,4900925519,9.265777895
29823,1952,CHN,7.16106E+11,7.16106E+11,0,0
29824,1952,CIV,13233237214,13233237214,190498228.7,1.439543671
29825,1952,CMR,13779322218,13779322218,0,0
29826,1952,COD,70458032007,70458032007,19273467978,27.35453635
29827,1952,COG,15310919460,15310919460,3004432703,19.62281045
29828,1952,COK,2600360.171,2600360.171,0,0
29829,1952,COL,94192789942,94192789942,91349618.91,0.096981541
29830,1952,COM,1509128138,1509128138,0,0
29831,1952,CPV,8759049410,8759049410,0,0
29832,1952,CRI,33687817760,33687817760,0,0
29833,1952,CUB,6618478570,6618478570,0,0
29834,1952,CYP,1938793668,1938793668,0,0
29835,1952,CZE,6943852822,6943852822,60791022.74,0.875465311
29836,1952,DEU,23340999970,23340999970,607007155,2.600604755
29837,1952,DJI,548131161.6,548131161.6,0,0
29838,1952,DMA,233350928.1,233350928.1,0,0
29839,1952,DOM,7378792838,7378792838,0,0
29840,1952,DZA,1.86065E+11,1.86065E+11,0,0
29841,1952,ECU,97748622037,97748622037,0,0
29842,1952,EGY,28131495821,28131495821,0,0
29843,1952,ERI,10652979757,10652979757,0,0
29844,1952,ESP,1.80743E+11,1.80743E+11,816940013,0.451988883
29845,1952,ETH,1.2756E+11,1.2756E+11,0,0
29846,1952,FIN,12288036249,12288036249,0,0
29847,1952,FJI,18766331090,18766331090,19832582.35,0.105681725
29848,1952,FLK,424671618,424671618,0,0
29849,1952,FRA,40870705604,40870705604,8382.967403,2.05E-05
29850,1952,FRO,15888262.24,15888262.24,0,0
29851,1952,FSM,149584532.9,149584532.9,0,0
29852,1952,GAB,27142642220,27142642220,0,0
29853,1952,GBR,20261279591,20261279591,858466847.3,4.236982385
29854,1952,GEO,15839349139,15839349139,1120361608,7.073280586
29855,1952,GHA,4357221634,4357221634,746350506.3,17.12904619
29856,1952,GIB,177399899.6,177399899.6,0,0
29857,1952,GIN,3118335866,3118335866,880273531.8,28.22895191
29858,1952,GLP,392009845.6,392009845.6,0,0
29859,1952,GNQ,3312094660,3312094660,0,0
29860,1952,GRC,40993725279,40993725279,55241383.25,0.134755704
29861,1952,GRD,33433398.72,33433398.72,15470699.35,46.27318773
